State,Days_with_AQI,Year,Good_Days,Moderate_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days,Days_CO,Days_NO2,Days_Ozone,Days_SO2,Days_PM2.5,Days_PM10,Latitude,Longitude
New Jersey,341.6375,2013.0,256.775,77.025,0.7625,0.0,0.7625,0.6875,32.25,206.4375,1.85,99.9375,0.475,,
New Mexico,276.1818181818182,2012.965909090909,210.5,61.76136363636363,0.32954545454545453,0.11363636363636363,0.32954545454545453,0.0,3.875,178.0681818181818,2.522727272727273,68.13636363636364,23.579545454545453,,
New York,352.9220779220779,2012.909090909091,296.31168831168833,53.45454545454545,0.24025974025974026,0.006493506493506494,0.24025974025974026,0.3246753246753247,8.707792207792208,244.57142857142858,4.37012987012987,94.94805194805195,0.0,,
North Carolina,286.45021645021643,2012.995670995671,224.02597402597402,60.532467532467535,0.15584415584415584,0.008658008658008658,0.15584415584415584,0.0,0.4458874458874459,149.44155844155844,11.753246753246753,124.76623376623377,0.04329004329004329,,
North Dakota,362.5,2013.0434782608695,323.95652173913044,35.80434782608695,0.6304347826086957,0.043478260869565216,0.6304347826086957,0.0,3.0652173913043477,252.7173913043478,24.195652173913043,66.82608695652173,15.695652173913043,,
Ohio,316.66346153846155,2012.9759615384614,226.59615384615384,83.03846153846153,0.5240384615384616,0.014423076923076924,0.5240384615384616,0.6298076923076923,2.0048076923076925,140.9375,47.42307692307692,118.25961538461539,7.408653846153846,,
Oklahoma,322.34513274336285,2013.0,233.39823008849558,80.75221238938053,0.415929203539823,0.008849557522123894,0.415929203539823,0.0,4.04424778761062,222.57522123893804,6.646017699115045,72.29203539823008,16.787610619469028,,
Oregon,341.7563025210084,2012.9579831932774,278.34453781512605,58.470588235294116,1.1596638655462186,0.058823529411764705,1.1596638655462186,0.0,0.7899159663865546,53.67226890756302,0.0,287.16806722689074,0.12605042016806722,,
Pennsylvania,356.7135416666667,2013.0052083333333,240.33854166666666,109.28645833333333,0.4375,0.0,0.4375,0.057291666666666664,2.8333333333333335,204.99479166666666,13.619791666666666,132.375,2.8333333333333335,,
Puerto Rico,246.42857142857142,2012.936507936508,236.33333333333334,9.80952380952381,0.12698412698412698,0.015873015873015872,0.12698412698412698,38.301587301587304,4.079365079365079,36.03174603174603,44.698412698412696,36.333333333333336,86.98412698412699,,
Rhode Island,349.0,2013.0,281.8,61.46666666666667,0.4666666666666667,0.0,0.4666666666666667,0.0,7.933333333333334,210.86666666666667,0.13333333333333333,129.8,0.26666666666666666,,
South Carolina,293.125,2012.9791666666667,237.78125,54.083333333333336,0.07291666666666667,0.0,0.07291666666666667,0.0625,2.1354166666666665,167.38541666666666,8.479166666666666,95.57291666666667,19.489583333333332,,
South Dakota,336.45652173913044,2013.0434782608695,284.19565217391306,51.391304347826086,0.043478260869565216,0.0,0.043478260869565216,0.0,5.891304347826087,186.32608695652175,0.021739130434782608,103.65217391304348,40.56521739130435,,
Tennessee,278.3333333333333,2013.0083333333334,212.36666666666667,61.19166666666667,0.3333333333333333,0.025,0.3333333333333333,0.075,10.825,163.79166666666666,15.325,69.93333333333334,18.383333333333333,,
Texas,342.13488372093025,2012.9627906976743,255.53023255813955,78.85116279069767,0.8837209302325582,0.06046511627906977,0.8837209302325582,0.037209302325581395,3.6930232558139533,206.3860465116279,1.4325581395348836,129.55348837209303,1.0325581395348837,,
Utah,330.5945945945946,2012.972972972973,223.95945945945945,95.91891891891892,1.9054054054054055,0.44594594594594594,1.9054054054054055,0.0,20.094594594594593,246.72972972972974,0.1891891891891892,62.108108108108105,1.472972972972973,,
Vermont,296.7,2013.0,245.9,49.55,0.0,0.0,0.0,0.45,8.9,132.4,0.6,154.35,0.0,,
Virgin Islands,146.2,2013.0,131.0,14.6,0.2,0.0,0.2,0.0,0.0,0.0,72.6,65.9,7.7,,
Virginia,255.2032967032967,2012.9505494505495,216.86813186813185,36.510989010989015,0.1813186813186813,0.005494505494505495,0.1813186813186813,1.543956043956044,37.57142857142857,134.57692307692307,2.3351648351648353,69.23626373626374,9.93956043956044,,
Washington,348.55479452054794,2012.986301369863,297.35616438356163,48.35616438356164,0.6575342465753424,0.0273972602739726,0.6575342465753424,0.13013698630136986,1.856164383561644,44.04109589041096,0.0136986301369863,295.85616438356163,6.657534246575342,,
West Virginia,283.5,2012.9736842105262,226.22368421052633,54.96052631578947,0.15789473684210525,0.0,0.15789473684210525,0.06578947368421052,0.0,140.35526315789474,49.078947368421055,85.05263157894737,8.947368421052632,,
Wisconsin,267.37333333333333,2012.94,210.74,51.11333333333334,0.52,0.013333333333333334,0.52,0.0,0.5333333333333333,172.09333333333333,12.533333333333333,78.89333333333333,3.32,,
Wyoming,308.9255319148936,2013.0,248.9468085106383,58.0,0.2978723404255319,0.0425531914893617,0.2978723404255319,0.06382978723404255,3.882978723404255,214.69148936170214,9.702127659574469,27.351063829787233,53.234042553191486,,
